"split","aAcc","fAcc","qAcc"
"Overall","68.87486855941115","44.797687861271676","45.934065934065934"
"VS","76.11111111111111","46.55172413793103","55.61797752808989"
"VD","64.46700507614213","43.913043478260875","39.71119133574007"
"VS_map","64.0625","40.909090909090914","28.125"
"VS_table","81.25","50.0","62.7906976744186"
"VD_video","43.529411764705884","12.5","8.695652173913043"
"VS_chart","80.76923076923077","50.0","68.42105263157895"
"VD_illusion","63.888888888888886","38.70967741935484","30.555555555555557"
"VD_math","69.44444444444444","36.11111111111111","46.2962962962963"
"VS_ocr","68.51851851851852","42.30769230769231","40.74074074074074"
"VD_ocr","84.26966292134831","72.09302325581395","72.09302325581395"
"VD_figure","81.25","65.85365853658537","66.66666666666666"
